"grade_feedback_id","problem_log_id","teacher_xid","grade","feedback","active_batch","time_taken_seconds","created_at"
33,132021241,2835460,2,What does the 26:1 mean in the context of this problem.  Can you assign units to those numbers,0,116,2022-07-07 12:33:31.849 -0400
34,156797449,2835460,0,Go back and reread the question.  It may be helpful to draw the shapes on a piece of paper,0,72,2022-07-07 12:34:44.723 -0400
35,153807149,2835460,2,What does the 30 represent?   What does the 40 represent?,0,35,2022-07-07 12:35:20.464 -0400
36,141453310,654406,4,Great job seeing the growth of savings across each week.,0,475,2022-07-07 12:36:01.907 -0400
37,141424612,8926,3,Great start.  It would be helpful to include units ($) along with your response.,0,5114,2022-07-07 12:36:03.277 -0400
38,154086674,2835460,4,Nice job,0,48,2022-07-07 12:36:09.160 -0400
39,141453414,8926,4,Great job include units in your response!,0,26,2022-07-07 12:36:30.223 -0400
40,154168312,654406,2,"Your statements are correct.  However, you did not use the symbols, < or >, as requested.  ",0,56,2022-07-07 12:36:58.917 -0400
41,142085584,8926,3,"RIght idea, but please include how much Andre is saving per week based on the slope in your response.",0,36,2022-07-07 12:37:06.965 -0400
42,141453170,2835460,4,Nice job using the graph to be precise in your answer,0,92,2022-07-07 12:37:41.855 -0400
43,141453089,8926,2,"Close, but this graph shows just Andre's bank account balance. He might gain money from other sources as well.  Please be specific.",0,42,2022-07-07 12:37:50.084 -0400
44,154210461,654406,4,Great job remembering that integers farther to the left on a number line are greater in value.  ,0,58,2022-07-07 12:37:57.218 -0400
45,154086124,2835460,1,Can you explain how 4 is between -2 and -8? Reread the question again before you redo your answer,0,77,2022-07-07 12:38:59.918 -0400
46,156772042,2835460,1,"24 of what shapes?",0,31,2022-07-07 12:39:31.502 -0400
47,141891911,2835460,3,can you be even more precise?  How money is being saved per week? per two weeks?uch money is being s,0,62,2022-07-07 12:40:34.191 -0400
48,154327155,7629,3,"I agree, but can you explain further by what you mean when you say ""smaller numbers""?",0,75,2022-07-07 13:07:07.626 -0400
49,155593230,7629,3,"Can you explain what you are using to determine direction, further to the right where? On a number line perhaps? Be more specific.",0,80,2022-07-07 13:08:28.661 -0400
50,144018230,7629,0,"The end behavior of this function would not be negative infinity. It looks like we may need to work more on this topic, be sure to ask for help.",0,398,2022-07-07 13:15:07.925 -0400
51,154298980,7629,1,"Can you explain further about what you mean by ""go into each other""? Is there a method you can use to determine if the two ratios are equivalent?",0,65,2022-07-07 13:16:14.026 -0400
52,142296242,7629,0,"The two are related because when you have a strong and positive correlation, the values of both data points will increase.",0,182,2022-07-07 13:19:17.374 -0400
53,155593708,7629,4,Great job!,0,87,2022-07-07 13:20:44.739 -0400
54,155591717,7629,0,"5/8 is actually further to the right on a number line when compared to -3/4. The further left you go on the number line, the smaller the number gets.",0,81,2022-07-07 13:22:06.288 -0400
55,154308705,7629,0,This does not discuss how you know that the rations are not equivalent. You should be comparing the ratios.,0,137,2022-07-07 13:24:23.635 -0400
56,155557245,7629,3,"Can you explain more, further on the number line in which direction? ",0,33,2022-07-07 13:24:57.769 -0400
57,136433296,7629,0,"This does not explain how you know that two ratios are equivalent. It seems like you may need more help on this topic, be sure to ask for help.",0,141,2022-07-07 13:27:19.832 -0400
58,154308439,7629,0,This is not an explanation on how you know that they are not equivalent.,0,193,2022-07-07 13:30:33.955 -0400
59,154326172,7629,0,Can you explain where the numbers 74 and 80 come from? What are you multiplying them by and do they need to be the same number to be equivalent?,0,185,2022-07-07 13:33:40.051 -0400
60,142574830,7629,4,Great job!,0,49,2022-07-07 13:34:30.387 -0400
61,154326691,7629,0,It is unclear where you got the numbers 7 and 15 from to help you compare. ,0,69,2022-07-07 13:35:40.399 -0400
62,154298724,7629,2,Can you explain a little further about why you are multiplying and WHAT you are multiplying to prove that they are/are not equivalent?,0,67,2022-07-07 13:36:47.832 -0400
63,155546702,7629,4,Great job!,0,72,2022-07-07 13:38:00.992 -0400
64,146501463,7629,0,Try and find the unit rate for how much the water costs for this week and compare that amount to the price from last week.,0,253,2022-07-07 13:42:14.345 -0400
65,155545481,7629,4,Great job!,0,57,2022-07-07 13:43:12.344 -0400
66,146500712,7629,0,"The sale if $5 for 4 bottles, so try and find the unit rate for the water being sold this week to help you compare.",0,44,2022-07-07 13:43:56.747 -0400
67,154307969,7629,0,Could you simplify the larger ratio to equal 16:14? Just because one ratio is larger does not mean that it can't be simplified to show equivalent ratios.,0,102,2022-07-07 13:45:39.708 -0400
68,155651105,7629,2,Can you explain further on why being negative/positive makes a difference when you are comparing numbers?,0,36,2022-07-07 13:46:16.147 -0400
69,155556571,7629,0,Just because a number is closer to 0 does not determine if the number is larger/smaller. What if they other fraction you were comparing was -1/10 ? -1/10 is closer to 0 than 5/8 but that does not make it larger.,0,68,2022-07-07 13:47:25.353 -0400
70,132784282,2835460,3,Can you explain in context what the 26 and 2 represent,0,4082,2022-07-07 13:48:39.212 -0400
71,144838871,2912675,0,Test,0,16,2022-07-07 13:48:41.028 -0400
72,153807134,2835460,1,Reread the question? What is the question asking you to find?,0,49,2022-07-07 13:49:28.966 -0400
73,144838871,2835460,2,Yes the two values are different data points.   What is the question asking you to compare?,0,88,2022-07-07 13:50:58.058 -0400
74,141482836,2835460,4,Nice job using the graph to be specific in your answer,0,33,2022-07-07 13:51:31.676 -0400
75,155557006,7629,1,"5/8 is actually further to the right on the number line which makes it larger.  Your first statement is correct, with -3/4 being less but your reasoning is incorrect.",0,290,2022-07-07 13:52:18.115 -0400
76,144581770,2912675,3,"I agree with your thinking. So, based on that, which is warmer, the coldest temperature recorded in the USA, or the average temperature on Mars?",0,228,2022-07-07 13:52:29.530 -0400
77,155591957,7629,1,Do you mean positive and negative? You need to be specific with your explanation.,0,34,2022-07-07 13:52:53.187 -0400
78,155546199,7629,4,Great job!,0,16,2022-07-07 13:53:09.514 -0400
79,155556019,7629,4,Good job!,0,10,2022-07-07 13:53:19.972 -0400
80,154192851,2835460,2,You needed three inequalities.   Look at your numbers plotted on your number line.   Use number line to help you make a comparison with which is the greater number.  ,0,156,2022-07-07 13:54:08.791 -0400
81,153807133,2912675,0,It looks like you started to solve the problem but your work is incomplete. You also have not included enough work to show your reasoning.,0,103,2022-07-07 13:54:13.115 -0400
82,155593562,7629,3,"I agree that 5/8 is greater because it is further to the right on the number line, but being ""closer to the right of 0"" does not always apply when you have positive numbers to compare which is greater. ",0,58,2022-07-07 13:54:18.553 -0400
83,141453310,2835460,4,Nice job using the graph to find the rate,0,21,2022-07-07 13:54:30.597 -0400
84,155807506,7629,0,"5/8 is greater than -3/4 because it is further to the right on the number line.",0,59,2022-07-07 13:55:18.605 -0400
85,132520431,2835460,4,Yes what other work did you do compare Sarah to Eva,0,62,2022-07-07 13:55:33.404 -0400
86,154088338,2835460,3,The question is asking you to use the three numbers to write three inequalities. ,0,45,2022-07-07 13:56:18.870 -0400
87,154123763,2835460,1,Can you explain your thinking?  Are the numbers in your inequalities between -2 and -8?,0,93,2022-07-07 13:57:52.677 -0400
88,154122671,2835460,3,Nice work,0,18,2022-07-07 13:58:11.552 -0400
89,154173602,2835460,4,Nice work,0,18,2022-07-07 13:58:30.653 -0400
90,141522638,2835460,4,Nice job using graph to find the rate of increase in t he graph,0,29,2022-07-07 13:58:59.840 -0400
91,154072386,2835460,1,What does the 70 represent?  What calculations did you do to get 70,0,55,2022-07-07 13:59:55.248 -0400
92,156799971,2835460,1,Reread the question.  Explain your thinking,0,24,2022-07-07 14:00:20.029 -0400
93,156798806,2835460,0,What does the 2 represent?  Which shape?,0,32,2022-07-07 14:00:52.319 -0400
94,141424981,2835460,4,Yes.  Can you be even more precise?  How much each week?,0,37,2022-07-07 14:01:30.141 -0400
95,142085584,2912675,0,Your answer does not seem to match the given graph. Plesae go back and check your work.,0,447,2022-07-07 14:01:40.722 -0400
96,153769118,2835460,1,Reread the question.  What is they are asking you to find?,0,34,2022-07-07 14:02:04.516 -0400
97,132248161,2835460,3,How did you use the time and meters? What calculations did you do?,0,51,2022-07-07 14:02:56.258 -0400
98,154298759,7629,0,This explanation is a little confusing on how you know that these two ratios are not equivalent.,0,478,2022-07-07 14:03:18.476 -0400
99,141453414,2835460,4,Nice job using the graph to explain the rate of increase,0,29,2022-07-07 14:03:26.327 -0400
100,144018230,7629,0,"It looks like you have been struggling with this topic, please ask for help.",0,41,2022-07-07 14:04:00.305 -0400
101,142378339,2912675,3,Can you tell me more?,0,152,2022-07-07 14:04:13.153 -0400
102,141453365,2835460,2,Take  a closer look at the scale on the graph,0,61,2022-07-07 14:04:28.311 -0400
103,141482836,2912675,0,This does not answer the question of what the slope represents in this situation.,0,21,2022-07-07 14:04:34.653 -0400
104,155593052,7629,3,"I agree, but can you explain a little further about why it matters if a number is positive/negative when you are comparing?",0,36,2022-07-07 14:04:36.610 -0400
105,153804667,2835460,2,Tell me what the 70 represents.   Check your work,0,59,2022-07-07 14:05:28.147 -0400
106,144199600,2912675,3,"I agree with your thinking but am wondering if there is a more mathematical way you can explain. Is there a better way to say ""the more you go down in the negatives""?",0,79,2022-07-07 14:05:54.723 -0400
107,144485699,2835460,2,Is the USA warmer or colder?  Reread the question and check your work,0,63,2022-07-07 14:06:31.360 -0400
108,142379229,2835460,1,True.  Is that what the question is asking?  What does the slope represent?,0,47,2022-07-07 14:07:19.286 -0400
109,144541645,2835460,3,Why does -55 being before -62 make it warmer?,0,43,2022-07-07 14:08:02.462 -0400
110,132093750,2912675,2,Who did you determine was the faster swimmer? Can you give an example to support your thinking?,0,143,2022-07-07 14:08:18.297 -0400
111,142378339,2835460,3,Can you be even more specific?  How much money per week?,0,30,2022-07-07 14:08:32.848 -0400
112,144765706,2835460,3,Yes.  Can you expand on your explanation.  Be more precise,0,28,2022-07-07 14:09:01.887 -0400
113,144541645,2912675,2,"This is a good start. So which is warmer, the coldest temperature recorded in the USA or the average temperature on mars? What do you mean by on the number line is before -62? ",0,52,2022-07-07 14:09:10.626 -0400
114,153804023,2835460,3,What does the 70 represent? How did you find it?,0,47,2022-07-07 14:09:49.970 -0400
116,153807149,2912675,1,Your answer appears to be correct however your reasoning does not match the problem.,0,117,2022-07-07 14:11:08.298 -0400
117,154087921,2835460,3,Your inequalities are correct .  Reread the directions from part 1,0,88,2022-07-07 14:11:18.395 -0400
118,153774309,2912675,0,Your answer and reasoning are unclear and incorrect.,0,36,2022-07-07 14:11:44.808 -0400
119,132445902,2835460,4,Nice work,0,42,2022-07-07 14:12:01.361 -0400
120,141424981,2912675,4,Nice work!,0,62,2022-07-07 14:12:47.197 -0400
121,141424635,2835460,3,Yes.  Can you be even more precise?,0,66,2022-07-07 14:13:07.745 -0400
122,154168569,2912675,0,Huh? I am not following your thinking. ,0,24,2022-07-07 14:13:11.410 -0400
123,154088338,2912675,0,You answer is incomplete,0,56,2022-07-07 14:14:08.029 -0400
124,154220378,2835460,3,Yes.  What else doe the data tell you?,0,79,2022-07-07 14:14:26.994 -0400
126,153807134,2912675,0,"Yes, the mean does equal 40. The question is asking you to use that information along with the scores of Noah and Mai to determine what Clare's score was.",0,48,2022-07-07 14:14:56.412 -0400
127,132568897,2835460,3,Did you check the other numbers?,0,38,2022-07-07 14:15:06.091 -0400
128,141453414,2912675,3,Can you tell me more?,0,74,2022-07-07 14:16:11.366 -0400
129,132248190,2835460,1,How can you use the time and distance to compare their speeds?,0,75,2022-07-07 14:16:21.793 -0400
130,144086165,7629,2,"I agree that 100 shirts could work for this situation, but you could print 47 or more t-shirts to have an average cost of $5 or less. Any shirt amount under 47 would not work.",0,740,2022-07-07 14:16:58.778 -0400
132,144644490,2835460,2,Can you explain how you compared -55 and -62?  Which number is the greater of the two?,0,57,2022-07-07 14:17:19.091 -0400
133,154326596,7629,2,Can you explain what you mean by the ratios do not match?,0,20,2022-07-07 14:17:19.448 -0400
134,144485699,2912675,0,Your answer is incorrect. ,0,95,2022-07-07 14:17:47.200 -0400
135,155545104,7629,3,Can you explain why being negative/positive helps you determine if a number is larger/smaller?,0,34,2022-07-07 14:17:54.692 -0400
137,141953013,2835460,3,How did you calculate 4? ,0,61,2022-07-07 14:18:20.736 -0400
138,153771796,2912675,3,I think I see how you solved this problem but your answer of what Clare's score was is unclear. Can you explain?,0,46,2022-07-07 14:18:33.553 -0400
139,141768776,2835460,4,Nice job using the graph to understand the slope,0,22,2022-07-07 14:18:43.458 -0400
141,154086124,2912675,0,The numbers you have used are not between the given numbers of -2 and -8.,0,28,2022-07-07 14:19:02.590 -0400
142,144652730,2912675,4,Nicely done!,0,38,2022-07-07 14:19:40.987 -0400
143,154852630,2835460,4,Yes.  Would it be statistical if the question asked about multiple last names?,0,120,2022-07-07 14:20:44.147 -0400
144,132023296,2912675,0,Your method and answer are incorrect.,0,76,2022-07-07 14:20:57.624 -0400
145,155592759,7629,3,"I agree, but can you explain how negative/positive numbers help you determine if a number is larger/smaller? ",0,187,2022-07-07 14:21:02.717 -0400
146,154843788,2835460,2,What makes a question statistical?,0,32,2022-07-07 14:21:16.856 -0400
147,155546539,7629,4,Nice job.,0,24,2022-07-07 14:21:27.605 -0400
148,154172586,2835460,1,Reread both parts 1 and 2,0,21,2022-07-07 14:21:38.296 -0400
149,154220378,2835460,3,What else do you notice?,0,29,2022-07-07 14:22:07.955 -0400
150,153774309,2835460,2,What does the 70 represent?  What does the 40 represent?,0,41,2022-07-07 14:22:49.438 -0400
151,154326222,7629,0,I believe you have the ratios incorrect. You are comparing 16:14 to 64:60. It seems like you are comparing two different ratios.,0,85,2022-07-07 14:22:53.332 -0400
152,154168569,2835460,0,How do you calculate a mean?,0,37,2022-07-07 14:23:27.126 -0400
153,132016323,2835460,4,Nice job explaining your thinking,0,37,2022-07-07 14:24:04.807 -0400
154,155556448,7629,4,Nice job.,0,110,2022-07-07 14:24:44.295 -0400
155,155556784,7629,2,"I agree with your statement, but can you explain more on how this makes 5/8 greater?",0,33,2022-07-07 14:25:18.043 -0400
156,154135735,2835460,1,Reread part 2.  How can you use the number line from part one to help you know which number is greater?,0,85,2022-07-07 14:25:30.541 -0400
157,155547139,7629,2,"I agree, but can you explain more on how this makes 5/8 greater?",0,30,2022-07-07 14:25:48.979 -0400
158,155592260,7629,4,Nice job.,0,19,2022-07-07 14:26:08.966 -0400
159,132056618,2835460,4,Nice job using ratios to compare,0,86,2022-07-07 14:26:56.832 -0400
160,154220378,2835460,3,What else do you notice?,0,15,2022-07-07 14:27:12.875 -0400
161,141891911,2835460,3,Yes.  Can you be even more precise.  How many dollars per week?,0,33,2022-07-07 14:27:46.743 -0400
162,132021241,2835460,3,Check your calculations.  Nice job using ratios to compare.   ,0,39,2022-07-07 14:28:26.706 -0400
163,154850332,2835460,0,Reread parts one and two,0,30,2022-07-07 14:28:57.105 -0400
164,154326816,7629,3,"I agree and see what you are doing, but can you explain a little more and tell me how you got these numbers?",0,426,2022-07-07 14:33:17.152 -0400
165,154308113,7629,0,This is not an explanation on how you know that the ratios are not equivalent. ,0,59,2022-07-07 14:34:17.434 -0400
166,155545753,7629,0,-3/4 is actually further to the left on the number line than 5/8.,0,59,2022-07-07 14:35:16.593 -0400
167,155546031,7629,3,"I agree with your statements, but you did not use complete sentences so it is hard to determine what you are trying to explain.",0,69,2022-07-07 14:36:26.403 -0400
168,136435621,7629,0,"This explanation is not clear. What do you mean by ""quickly""? Also, what are you dividing and why are you dividing?",0,55,2022-07-07 14:37:22.322 -0400
169,155546651,7629,3,"Farther to the left where? Can you explain further on where/how you are comparing these two numbers, for example on a number line perhaps?",0,140,2022-07-07 14:39:42.873 -0400
170,154326423,7629,0,"Just because the ratios contain different numbers, does not mean that they are not equivalent. You can always multiply or divide by the same unit to determine if ratios are equivalent.",0,62,2022-07-07 14:40:45.428 -0400
171,154326305,7629,0,"What numbers are you comparing? Also, can you simplify the ratios to see if they are equivalent?",0,39,2022-07-07 14:41:25.607 -0400
172,155548468,7629,3,Lower which way? Can you explain a little more please?,0,31,2022-07-07 14:41:57.504 -0400
173,155556500,7629,3,"Further to the right where? Be specific and explain what you are using to compare directions of the numbers, for example further to the right on the number line.",0,273,2022-07-07 14:46:31.659 -0400
174,154326894,7629,0,This is not an accurate way to compare equivalent ratios. You would need to compare the two ratios by trying to simplify to see if they are equivalent. Or you can also try and see if the unit rate is the same for each.,0,56,2022-07-07 14:47:28.159 -0400
175,155558018,7629,3,"I agree, but can you explain more on how this fact helped you for this particular problem?",0,36,2022-07-07 14:48:05.575 -0400
176,154326556,7629,1,"Okay, but how does this help you compare to the other ratio of 64:60? Is there a way to simplify that ratio to 8:7?",0,81,2022-07-07 14:49:27.880 -0400
177,132021072,2912675,0,"I think you had some good thoughts, but your work and reasoning do not match the ratio tables that were provided. Please double check your work and try your strategy again.",0,1770,2022-07-07 14:50:28.306 -0400
178,144583078,2912675,2,How do you know that -62 degrees is colder tahn -55 degrees?,0,115,2022-07-07 14:52:23.667 -0400
179,145169559,2912675,0,Your answer and inequality are incorrect.,0,58,2022-07-07 14:53:21.845 -0400
180,146399348,7629,0,"t represents the amount of years after 2000 that would have 1,000 million people who own a smartphone.",0,258,2022-07-07 14:53:46.397 -0400
181,132248161,2912675,0,Who did you determine who the faster swimmer is? How did you use time and meters to determine your answer? Your work is incomplete.,0,96,2022-07-07 14:54:58.748 -0400
182,141522638,2912675,3,Nice work!,0,49,2022-07-07 14:55:48.373 -0400
183,147987633,7629,3,"I agree, but specifically it would be the distance from Elena's house. ",0,145,2022-07-07 14:56:12.313 -0400
184,132056618,2912675,2,"You seem to be on the right track and I am following your thinking. However, I'm not clear on why you used meters per second for Eva's ratio. I am also unclear on who you determined the faster swimmer is.",0,89,2022-07-07 14:57:18.170 -0400
185,143751448,7629,0,The average cost per sweatshirt will decrease as more and more are printed.,0,98,2022-07-07 14:57:50.939 -0400
186,144098695,2912675,2,"Your answer is on the right track. Yes, the average temperature on Mars is warmer. Can you explain how you know this using some mathematical reasoning?",0,41,2022-07-07 14:57:59.808 -0400
187,155556888,7629,1,This is not a clear explanation on how you know which number is larger. Be sure to discuss which numbers you are comparing.,0,57,2022-07-07 14:58:48.429 -0400
188,132016323,2912675,4,Nicely done! I like how you explained how you solved the problem and your reasoning.,0,57,2022-07-07 14:58:56.980 -0400
189,141482836,3097639,4,Great job!,0,83,2022-07-07 14:59:25.286 -0400
190,154174718,2912675,0,Your answer is incorrect as the numbers you are comparing do not fall between -2 and -8.,0,36,2022-07-07 14:59:33.634 -0400
191,154326333,7629,2,"I somewhat see what you are saying, but you can multiply 14 by 4 2/7 to get 60. However, if you multiply 16 by this same rate then you will not get 64.",0,70,2022-07-07 14:59:59.144 -0400
192,154072386,2912675,0,"You have the right idea of dividing by 3. However, your answer is incorrect.",0,32,2022-07-07 15:00:05.974 -0400
193,143761969,7629,3,"Those are good things to notice/wonder, but can you be clear on where you are seeing 2 different equations? I see 4 equations in total.",0,76,2022-07-07 15:01:15.912 -0400
194,156772371,3097639,1,The square will be divided into two parts which would make it two triangles. ,0,175,2022-07-07 15:02:21.404 -0400
195,154172586,2912675,0,This answer is incorrect. Please remember to use the symbols < and > to write your inequality statements.,0,146,2022-07-07 15:02:32.892 -0400
196,141891911,2912675,2,That is a good observation but does not fully answer the question.,0,52,2022-07-07 15:03:25.846 -0400
197,137624159,2912675,4,Nice work!,0,96,2022-07-07 15:05:02.306 -0400
198,154298864,7629,2,Can you explain how you know that they can't be equal? What math did you do to prove this?,0,250,2022-07-07 15:05:26.265 -0400
199,153770164,2912675,4,Nice work! I can see how you worked through this problem.,0,36,2022-07-07 15:05:38.554 -0400
200,142327213,2912675,0,"That might be what the graph is showing. However, the question is asking you to explain what the slope represents in this situation.",0,30,2022-07-07 15:06:09.124 -0400
201,136434451,7629,2,"I somewhat follow what you are saying, but how can doubling/tripling the number make sure that any 2 of these 3 ratios are equivalent?",0,44,2022-07-07 15:06:11.121 -0400
202,144652730,3097639,1,"The average temperature is the middle range, so it is sometimes higher and lower. While in the USA that is the lowest it has ever gone down, but it is mostly warmer than that temperature. ",0,245,2022-07-07 15:06:26.908 -0400
203,141424635,2912675,2,Can you explain more?,0,27,2022-07-07 15:06:36.707 -0400
204,153769118,2912675,0,This does not address the question of what Clare's score was or how you found it.,0,33,2022-07-07 15:07:10.648 -0400
205,156796742,3097639,1,Ann divided each square into 2 parts and has 6 squares which equals 12 parts.,0,62,2022-07-07 15:07:29.633 -0400
206,154326279,7629,2,"I somewhat understand what you did, but can you explain how you are getting the number 4? What math are you doing to get this answer?",0,81,2022-07-07 15:07:32.399 -0400
207,144485699,2912675,0,Your answer and reasoning are incorrect.,0,33,2022-07-07 15:07:44.575 -0400
208,154299342,7629,3,"I agree, but can you explain why you are dividing to help you determine if these are equivalent ratios?",0,82,2022-07-07 15:08:55.168 -0400
209,156796644,3097639,2,You never stated who was correct. ,0,85,2022-07-07 15:08:55.585 -0400
210,154894167,2912675,0,This does not answer the question.,0,76,2022-07-07 15:09:00.882 -0400
211,141953013,2912675,0,This does not answer the question of what the slope represents in this situation.,0,28,2022-07-07 15:09:29.778 -0400
212,154192851,2912675,1,You are on the right track however -7 is not greater than -3 and -3 is not less than -5. You also need to include an additional inequality statement.,0,43,2022-07-07 15:10:13.385 -0400
213,156770231,3097639,1,The most common would have the most x's.  There are two heights with the same amount of x's. ,0,106,2022-07-07 15:10:41.757 -0400
214,132549333,2912675,3,How do you know she is the faster swimmer?,0,31,2022-07-07 15:10:45.203 -0400
215,154122671,2912675,4,Nicely done!,0,15,2022-07-07 15:11:00.726 -0400
216,156797449,3097639,0,Ann divides each shape into two parts which would make it two triangles. ,0,45,2022-07-07 15:11:27.245 -0400
217,142381275,3097639,4,Great job!,0,13,2022-07-07 15:11:40.588 -0400
218,154123763,2912675,0,Your numbers are incorrect as they don't fall between the given values of -3 and -8 (also I think your 8 key might be sticky on your computer),0,49,2022-07-07 15:11:50.356 -0400
219,156769823,3097639,4,Great strategy!,0,32,2022-07-07 15:12:13.625 -0400
220,132568897,2912675,0,I am not following your thinking. ,0,38,2022-07-07 15:12:28.934 -0400
221,154087921,2912675,3,Can you compare some other numbers besides -2?,0,24,2022-07-07 15:12:54.032 -0400
222,144644490,2912675,1,I agree with your answers of Mars but I do not agree with your reasoning. I think you need to explain more.,0,26,2022-07-07 15:13:20.277 -0400
223,142379229,2912675,0,This does not answer the question. ,0,10,2022-07-07 15:13:31.042 -0400
224,154084590,2912675,1,Great start! Can you write 2 more inequality statements?,0,17,2022-07-07 15:13:48.418 -0400
225,141933235,2912675,2,This is a good start. Can you tell me more?,0,17,2022-07-07 15:14:06.519 -0400
226,154173602,2912675,4,Great work!,0,9,2022-07-07 15:14:16.521 -0400
227,141453310,2912675,4,Nicely done,0,129,2022-07-07 15:16:26.045 -0400
228,154086124,2912675,0,Your numbers do not fall within the given range of -2 and -8.,0,20,2022-07-07 15:16:47.023 -0400
229,132784282,2912675,4,Nicely done!,0,13,2022-07-07 15:17:01.038 -0400
230,132353086,2912675,3,"I think I'm following your thinking. Based on what you did then, who did you determine to be the faster swimmer? How did you know?",0,82,2022-07-07 15:18:23.626 -0400
231,154149726,2912675,2,Your answer for Clare's score is correct but I'm not following the method that you used. Can you explain further?,0,64,2022-07-07 15:19:28.077 -0400
232,137069033,2912675,1,I am only seeing D as a point. How would I reflect it across the line D?,0,35,2022-07-07 15:20:04.143 -0400
233,154893730,3097639,4,Great!,0,477,2022-07-07 15:20:11.509 -0400
234,141453170,2912675,1,Is this what the slope represents? Tell me more,0,19,2022-07-07 15:20:24.172 -0400
235,154088030,2912675,0,Your answer is incorrect. Your numbers do not fall within the given values of -2 and -8,0,18,2022-07-07 15:20:42.694 -0400
236,141453513,2912675,3,Nice work!,0,20,2022-07-07 15:21:03.608 -0400
237,156770853,3097639,1,That height has the same amount of x's as a mother height which makes him incorrect. ,0,60,2022-07-07 15:21:11.776 -0400
238,156772042,2912675,0,Your answer is incorrect.,0,50,2022-07-07 15:21:53.878 -0400
239,156796712,3097639,1,Ann divides the square into 2 equal parts which makes the shape a triangle. ,0,51,2022-07-07 15:22:03.533 -0400
240,153804023,2912675,2,Where did the 70 come from? Is your answer that Clare's score is 40?,0,34,2022-07-07 15:22:28.943 -0400
241,156770760,3097639,1,There is another height that has the same amount of x's so he is incorrect. ,0,33,2022-07-07 15:22:37.318 -0400
242,141453513,2912675,3,Nice work,0,14,2022-07-07 15:22:43.396 -0400
243,142070546,2912675,4,Nicely done!,0,12,2022-07-07 15:22:56.018 -0400
244,142070546,2912675,4,Nicely done!,0,10,2022-07-07 15:23:06.607 -0400
245,156797290,3097639,1,You have to count all of the triangular shapes. ,0,45,2022-07-07 15:23:23.410 -0400
246,141453365,2912675,4,Nicely done!,0,32,2022-07-07 15:23:38.897 -0400
247,154085861,2912675,0,Your answer is incorrect. The numbers you used do not fall within the given numbers of -2 and -8,0,21,2022-07-07 15:24:00.356 -0400
248,144444719,2912675,3,I agree with your thinking. What does the location of these numbers mean?,0,43,2022-07-07 15:24:43.607 -0400
249,141768776,2912675,4,Nicely done!,0,20,2022-07-07 15:25:04.720 -0400
